attachment_id,image_url,display_title,notes
1,https://deltechfitness.com/cdn/shop/files/redblacktricepsrope-1.jpg?v=1753192665&width=1445,Tricep rope,Reference: Deltech Fitness tricep pushdown rope
2,https://image.made-in-china.com/2f0j00uWyqlTRhOVpi/Small-Straight-Bar-for-Pulley-System-Hard-Chrome.webp,Short straight bar,Reference: small straight bar for pulley system
3,"https://m.media-amazon.com/images/I/61D03o1BN2L._AC_UF1000,1000_QL80_.jpg",D-handle,Reference: single D-handle cable attachment
4,http://de.repfitness.com/cdn/shop/products/Shopify-ProSeries48LatBar-Thumbnail_1.jpg?v=1710352144,48 inch lat bar,Reference: REP Fitness pro series lat bar
5,https://vestafitness.com/cdn/shop/files/Close_V-Grip_Handlebar_Attachment-1.jpg?v=1775070549,Close V-grip bar,Reference: Vesta Fitness close V-grip handle
6,https://valorfitness.com/cdn/shop/products/mb-1-v-handle-bar-1.jpg?v=1670532323&width=1214,V-bar,Reference: Valor Fitness tricep V-bar
7,https://bellsofsteel.us/cdn/shop/files/BLK-ANK-STRP_20_Carousel_6.jpg?v=1764593593&width=2048,Ankle strap,Reference: Bells of Steel ankle strap
8,https://t4.ftcdn.net/jpg/03/75/04/33/360_F_375043319_6gIelnLOIF12wJySOTW1JFMxJ38WmCpi.jpg,Resistance band,Reference: Adobe Stock resistance band workout
9,http://kingofweighted.shop/cdn/shop/files/Belt-ColdFriendlyOffer.png?v=1776453062,Weighted dip belt,Reference: King of Weighted belt
10,https://cdn.shopify.com/s/files/1/0574/1215/7598/t/16/assets/acf.Pro-Series-Neutral-Grip-Lat-Bar-Main.png?v=1635799001,Neutral grip lat bar,Reference: REP Fitness neutral grip lat bar
