attachment_id,attachment_name,attachment_description,ta_created_at,ta_updated_at
-1,N/A,No attachment,2025-12-01 15:30:04.030 +0200,
1,Cable Rope,Triceps rope attachment for cable machines,2025-12-01 15:30:04.030 +0200,
2,Cable Bar,Straight bar attachment for cable machines,2025-12-01 15:30:04.030 +0200,
3,Cable Handle,Single handle attachment for cable machines,2025-12-01 15:30:04.030 +0200,
4,Lat Pulldown Bar,Wide grip bar for lat pulldown exercises,2025-12-01 15:30:04.030 +0200,
5,Close Grip Bar,Close grip attachment for pulldowns and rows,2025-12-01 15:30:04.030 +0200,
6,V-Bar,V-shaped bar for triceps pushdowns,2025-12-01 15:30:04.030 +0200,
7,Ankle Strap,Ankle strap for cable leg exercises,2025-12-01 15:30:04.030 +0200,
8,Resistance Band,Elastic resistance band for various exercises,2025-12-01 15:30:04.030 +0200,
9,Weighted Belt,Weighted belt for adding resistance to otherwise bodyweight movements,2025-12-01 15:30:04.030 +0200,
