"exercise_id","exercise_name","exercise_movement_type","ta_created_at","ta_updated_at"
-1,None,N/A,2025-12-01 15:30:04.030 +0200,
1,Romanian deadlift,Compound,2025-12-01 15:30:04.030 +0200,
2,Triceps extension,Isolated,2025-12-01 15:30:04.030 +0200,
3,Hip adduction,Isolated,2025-12-01 15:30:04.030 +0200,
4,Shoulder press,Compound,2025-12-01 15:30:04.030 +0200,
5,Hip abduction,Isolated,2025-12-01 15:30:04.030 +0200,
6,Biceps curl,Isolated,2025-12-01 15:30:04.030 +0200,
7,Dip,Compound,2025-12-01 15:30:04.030 +0200,
8,Bent knee calf press,Isolated,2025-12-01 15:30:04.030 +0200,
9,Bench press,Compound,2025-12-01 15:30:04.030 +0200,
10,Chest flies,Isolated,2025-12-01 15:30:04.030 +0200,
11,Bentover row,Compound,2025-12-01 15:30:04.030 +0200,
12,Leg curls,Isolated,2025-12-01 15:30:04.030 +0200,
13,Jumping squat,Compound,2025-12-01 15:30:04.030 +0200,
14,Pull down,Compound,2025-12-01 15:30:04.030 +0200,
15,Leg extension,Isolated,2025-12-01 15:30:04.030 +0200,
16,Squat,Compound,2025-12-01 15:30:04.030 +0200,
17,Hip thrust,Compound,2025-12-01 15:30:04.030 +0200,
18,Deadlift,Compound,2025-12-01 15:30:04.030 +0200,
19,Overhead triceps extension,Isolated,2025-12-01 15:30:04.030 +0200,
20,Latissimus pullover,Isolated,2025-12-01 15:30:04.030 +0200,
21,Inclined benchpress,Compound,2025-12-01 15:30:04.030 +0200,
22,Chin up,Compound,2025-12-01 15:30:04.030 +0200,
23,Overhead press,Compound,2025-12-01 15:30:04.030 +0200,
24,Pull up,Compound,2025-12-01 15:30:04.030 +0200,
25,Lateral deltoid raise,Isolated,2025-12-01 15:30:04.030 +0200,
26,Full shoulder abduction,Compound,2025-12-01 15:30:04.030 +0200,
27,Row,Compound,2025-12-01 15:30:04.030 +0200,
28,Hack squat,Compound,2025-12-01 15:30:04.030 +0200,
29,Facepull,Compound,2025-12-01 15:30:04.030 +0200,
30,Straight knee calf press,Isolated,2025-12-01 15:30:04.030 +0200,
31,Chest press,Compound,2025-12-01 15:30:04.030 +0200,
32,Close-grip row,Compound,2025-12-01 15:30:04.030 +0200,
33,Back extensions,Compound,2025-12-01 15:30:04.030 +0200,
34,Russian twists,Compound,2025-12-01 15:30:04.030 +0200,
35,Lunge,Compound,2025-12-01 15:30:04.030 +0200,
36,Ab rollout,Compound,2026-01-31 19:44:22.020 +0200,
37,Leg press,Compound,2026-01-31 19:44:22.020 +0200,
38,Bulgarian split squat,Compound,2026-01-31 19:44:22.020 +0200,
39,Glute kickback,Isolated,2026-01-31 19:44:22.020 +0200,
